warning: Feature js of package getrandom has been obsolete in version 0.4.2
warning: Feature simple of package pbkdf2 has been obsolete in version 0.13.0
Name                                             Project                         Compat   Latest   Kind         Platform
----                                             -------                         ------   ------   ----         --------
aho-corasick->memchr                             2.8.0                           ---      Removed  Normal       ---
android_system_properties->libc                  0.2.185                         0.2.186  0.2.186  Normal       ---
arbitrary->derive_arbitrary                      1.4.2                           ---      Removed  Normal       ---
arc-swap->rustversion                            1.0.22                          ---      Removed  Normal       ---
async-compression->compression-codecs            0.4.37                          0.4.38   0.4.38   Normal       ---
async-compression->compression-core              0.4.31                          0.4.32   0.4.32   Normal       ---
async-trait->proc-macro2                         1.0.106                         ---      Removed  Normal       ---
async-trait->quote                               1.0.45                          ---      Removed  Normal       ---
async-trait->syn                                 2.0.117                         ---      Removed  Normal       ---
axum                                             0.7.9                           ---      0.8.9    Normal       cfg(not(target_arch = "wasm32"))
axum->async-trait                                0.1.89                          ---      Removed  Normal       ---
axum->axum-core                                  0.4.5                           ---      0.5.6    Normal       ---
axum->matchit                                    0.7.3                           ---      0.8.4    Normal       ---
axum->rustversion                                1.0.22                          ---      Removed  Normal       ---
axum->serde                                      1.0.228                         ---      Removed  Normal       ---
axum->tokio-tungstenite                          0.24.0                          ---      0.29.0   Normal       ---
axum-core->async-trait                           0.1.89                          ---      Removed  Normal       ---
axum-core->futures-util                          0.3.32                          ---      Removed  Normal       ---
axum-core->rustversion                           1.0.22                          ---      Removed  Normal       ---
axum-test                                        15.7.4                          ---      20.0.0   Development  cfg(not(target_arch = "wasm32"))
axum-test->auto-future                           1.0.0                           ---      Removed  Normal       ---
axum-test->axum                                  0.7.9                           ---      0.8.9    Normal       ---
axum-test->rust-multipart-rfc7578_2              0.6.1                           ---      0.9.0    Normal       ---
axum-test->smallvec                              1.15.1                          ---      Removed  Normal       ---
block-buffer->generic-array                      0.14.7                          ---      Removed  Normal       ---
cc->find-msvc-tools                              0.1.9                           ---      Removed  Normal       ---
cc->shlex                                        1.3.0                           ---      Removed  Normal       ---
compression-codecs->compression-core             0.4.31                          0.4.32   0.4.32   Normal       ---
core-foundation->core-foundation-sys             0.8.7                           ---      Removed  Normal       ---
core-foundation->libc                            0.2.185                         0.2.186  Removed  Normal       ---
cpufeatures->libc                                0.2.185                         0.2.186  0.2.186  Normal       aarch64-linux-android
cpufeatures->libc                                0.2.185                         0.2.186  Removed  Normal       aarch64-linux-android
crossbeam-channel->crossbeam-utils               0.8.21                          ---      Removed  Normal       ---
crypto-common->generic-array                     0.14.7                          ---      Removed  Normal       ---
crypto-common->rand_core                         0.6.4                           ---      Removed  Normal       ---
crypto-common->typenum                           1.20.0                          ---      Removed  Normal       ---
derive_arbitrary->proc-macro2                    1.0.106                         ---      Removed  Normal       ---
derive_arbitrary->quote                          1.0.45                          ---      Removed  Normal       ---
derive_arbitrary->syn                            2.0.117                         ---      Removed  Normal       ---
digest->block-buffer                             0.10.4                          ---      0.12.0   Normal       ---
digest->block-buffer                             0.10.4                          ---      Removed  Normal       ---
digest->crypto-common                            0.1.7                           ---      0.2.1    Normal       ---
digest->crypto-common                            0.1.7                           ---      Removed  Normal       ---
digest->subtle                                   2.6.1                           ---      Removed  Normal       ---
displaydoc->proc-macro2                          1.0.106                         ---      Removed  Normal       ---
displaydoc->quote                                1.0.45                          ---      Removed  Normal       ---
displaydoc->syn                                  2.0.117                         ---      Removed  Normal       ---
env_logger                                       0.10.2                          ---      0.11.10  Normal       ---
env_logger->humantime                            2.3.0                           ---      Removed  Normal       ---
env_logger->is-terminal                          0.4.17                          ---      Removed  Normal       ---
env_logger->regex                                1.12.3                          ---      Removed  Normal       ---
env_logger->termcolor                            1.4.1                           ---      Removed  Normal       ---
errno->libc                                      0.2.185                         0.2.186  0.2.186  Normal       cfg(target_os = "hermit")
errno->libc                                      0.2.185                         0.2.186  Removed  Normal       cfg(target_os = "hermit")
errno->windows-sys                               0.61.2                          ---      Removed  Normal       cfg(windows)
filetime->cfg-if                                 1.0.4                           ---      Removed  Normal       ---
filetime->libc                                   0.2.185                         0.2.186  Removed  Normal       cfg(unix)
filetime->libredox                               0.1.16                          ---      Removed  Normal       cfg(target_os = "redox")
foreign-types->foreign-types-shared              0.1.1                           ---      Removed  Normal       ---
form_urlencoded->percent-encoding                2.3.2                           ---      Removed  Normal       ---
fsevent-sys->libc                                0.2.185                         0.2.186  0.2.186  Normal       ---
futures-channel->futures-core                    0.3.32                          ---      Removed  Normal       ---
futures-channel->futures-sink                    0.3.32                          ---      Removed  Normal       ---
futures-macro->proc-macro2                       1.0.106                         ---      Removed  Normal       ---
futures-macro->quote                             1.0.45                          ---      Removed  Normal       ---
futures-macro->syn                               2.0.117                         ---      Removed  Normal       ---
futures-util->futures-channel                    0.3.32                          ---      Removed  Normal       ---
futures-util->futures-core                       0.3.32                          ---      Removed  Normal       ---
futures-util->futures-io                         0.3.32                          ---      Removed  Normal       ---
futures-util->futures-macro                      0.3.32                          ---      Removed  Normal       ---
futures-util->futures-sink                       0.3.32                          ---      Removed  Normal       ---
futures-util->futures-task                       0.3.32                          ---      Removed  Normal       ---
futures-util->memchr                             2.8.0                           ---      Removed  Normal       ---
futures-util->pin-project-lite                   0.2.17                          ---      Removed  Normal       ---
futures-util->slab                               0.4.12                          ---      Removed  Normal       ---
generic-array->typenum                           1.20.0                          ---      Removed  Normal       ---
generic-array->version_check                     0.9.5                           ---      Removed  Build        ---
getrandom                                        0.2.17                          ---      0.4.2    Normal       ---
getrandom->cfg-if                                1.0.4                           ---      Removed  Normal       ---
getrandom->js-sys                                0.3.97                          ---      Removed  Normal       cfg(all(any(target_arch = "wasm32", target_arch = "wasm64"), target_os = "unknown"))
getrandom->libc                                  0.2.185                         0.2.186  0.2.186  Normal       cfg(all(any(target_os = "linux", target_os = "android"), not(any(all(target_os = "linux", target_env = ""), getrandom_backend = "custom", getrandom_backend = "linux_raw", getrandom_backend = "rdrand", getrandom_backend = "rndr"))))
getrandom->libc                                  0.2.185                         0.2.186  0.2.186  Normal       cfg(unix)
getrandom->libc                                  0.2.185                         0.2.186  Removed  Normal       cfg(all(any(target_os = "linux", target_os = "android"), not(any(all(target_os = "linux", target_env = ""), getrandom_backend = "custom", getrandom_backend = "linux_raw", getrandom_backend = "rdrand", getrandom_backend = "rndr"))))
